time,COLLET.PCOLMANI,CONTROLLER.USOMUCTR
1.0,2979659.25,3.249666690826416
2.0,3534810.5,1.0
3.0,4038576.25,1.0
4.0,4493395.5,0.5078984498977661
5.0,4544566.5,0.45811858773231506
6.0,4554229.0,0.40663301944732666
7.0,4525398.0,0.35482537746429443
8.0,4460886.5,0.3039788007736206
9.0,4364015.0,0.25528258085250854
10.0,4238602.5,0.20981541275978088
11.0,4088846.75,0.16852866113185883
12.0,3919350.5,0.13223376870155334
13.0,3735036.75,0.10158875584602356
14.0,3541122.75,0.07708752900362015
15.0,3344916.0,0.059050098061561584
16.0,3150057.0,0.04755289480090141
17.0,2961724.5,0.04255099222064018
18.0,2784784.75,0.043826840817928314
19.0,2621766.0,0.26621589064598083
20.0,2656628.5,0.44184237718582153
21.0,2822942.75,0.4184258282184601
22.0,2954858.0,0.25801336765289307
23.0,2952263.75,0.12760277092456818
